时间,开盘,最高,最低,收盘,成交量,成交额
2025-11-27 09:30:00,54.58,54.58,54.58,54.58,1274,6953492.0
2025-11-27 09:31:00,54.59,55.0,54.57,54.98,3316,18142466.0
2025-11-27 09:32:00,54.98,55.0,54.7,54.94,2612,14323256.0
2025-11-27 09:33:00,54.95,55.48,54.89,55.48,1529,8431056.0
2025-11-27 09:34:00,55.38,55.39,55.25,55.3,2039,11278909.0
2025-11-27 09:35:00,55.29,55.29,55.1,55.18,1584,8752367.0
2025-11-27 09:36:00,55.22,55.3,55.19,55.24,1431,7905211.0
2025-11-27 09:37:00,55.2,55.2,54.9,55.0,1588,8746286.0
2025-11-27 09:38:00,55.02,55.15,55.0,55.1,1219,6708885.0
2025-11-27 09:39:00,55.1,55.11,54.93,54.94,1191,6550104.0
2025-11-27 09:40:00,54.95,54.99,54.84,54.86,1728,9483843.0
2025-11-27 09:41:00,54.86,54.99,54.86,54.86,1031,5660933.0
2025-11-27 09:42:00,54.9,55.16,54.86,55.11,1812,9962881.0
2025-11-27 09:43:00,55.12,55.12,55.0,55.05,984,5418625.0
2025-11-27 09:44:00,55.09,55.25,55.09,55.23,963,5311841.0
2025-11-27 09:45:00,55.23,55.25,55.03,55.15,1117,6160340.0
2025-11-27 09:46:00,55.18,55.18,55.0,55.03,933,5138863.0
2025-11-27 09:47:00,55.06,55.14,55.06,55.14,732,4032560.0
2025-11-27 09:48:00,55.14,55.3,55.14,55.21,865,4777135.0
2025-11-27 09:49:00,55.28,55.3,55.21,55.3,1356,7493196.0
2025-11-27 09:50:00,55.31,55.32,55.23,55.27,1559,8615249.0
2025-11-27 09:51:00,55.27,55.3,55.2,55.22,724,4000786.0
2025-11-27 09:52:00,55.24,55.28,55.13,55.28,996,5497925.0
2025-11-27 09:53:00,55.29,55.4,55.25,55.33,1387,7673031.0
2025-11-27 09:54:00,55.33,55.33,55.25,55.25,850,4699283.0
2025-11-27 09:55:00,55.26,55.36,55.25,55.35,729,4031454.0
