symbol,name,current_price,change_percent,volume,amount,ma5,ma20,volume_ratio,rsi,is_starting,is_rising,has_increasing_volume,is_multi_ma,score
000538,云南白药,55.65,-0.80%,4973344,277344777.84,71.00931083856489,66.14765296218535,0.14322630934094066,85.90242243608162,False,True,False,True,2
000596,古井贡酒,149.70,-2.72%,3311600,498526578.0,177.42871817079532,162.08947872954278,1.1821897881789392,86.84442406752282,False,True,False,True,2
000661,长春高新,96.21,-3.01%,6868310,669947637.21,140.51244276978503,134.22732039977694,0.37583838293937194,75.48836977392352,False,True,False,True,2
000725,京东方Ａ,4.18,-0.71%,695117432,2906968610.57,4.259608045109163,4.060108711521445,0.4703361218765109,80.47521166433842,False,True,False,True,2
002032,苏 泊 尔,47.63,-1.73%,2482210,118956468.8,54.19943359534261,49.7673474955537,1.5940391218000274,83.95154005429872,False,True,True,True,3
002120,韵达股份,6.81,-1.30%,18094138,123711811.37,7.902747248587476,7.529333653026666,1.2834027773203278,78.93131294283806,False,True,True,True,3
002142,宁波银行,28.12,-0.21%,15261588,429709380.88,27.961262242274728,27.067579347039146,0.5924507841363403,65.59546445859633,False,True,False,True,2
002410,广联达,12.44,-2.28%,21401250,268047506.4,14.74318959321423,14.4221596180794,0.6166778988190225,66.91881055283919,False,True,False,True,2
002916,深南电路,204.39,4.12%,13485544,2744195690.88,163.48438121071356,159.24506735872987,1.2901640789094422,68.30063743727295,True,True,True,True,4
002939,长城证券,10.23,-2.01%,35925421,369579714.55,10.649341911328694,10.2028343782675,1.4990783471727243,72.06232547764986,True,True,True,True,4
300142,沃森生物,11.52,-1.37%,15556814,180082423.84,11.454969453449674,11.088851851987588,0.5924507841363403,65.59546445859633,False,True,False,True,2
300661,圣邦股份,67.20,1.48%,9953147,662834915.49,98.14401989532848,93.75403732319936,0.37583838293937194,75.48836977392361,False,True,False,True,2
300759,康龙化成,29.13,0.00%,18166525,534792249.75,40.35775704426602,37.938050138389045,1.3801332247485085,72.96936638319434,False,True,True,True,3
600000,浦发银行,11.32,-0.61%,55140865,625539976.0,14.782608604175007,13.42930001026071,1.077937800731311,90.4110823180808,False,True,False,True,2
600018,上港集团,5.56,-0.89%,24722722,137958192.0,8.022814777847968,7.627581738069,0.4022285048326209,75.9434640400324,False,True,False,True,2
600029,南方航空,6.92,-2.54%,23186701,161300827.0,7.815895081360719,7.633658641739407,1.2366018514042587,54.81445513096409,False,True,True,True,3
600038,中直股份,34.88,-1.27%,6792600,237845968.0,55.76905916316889,53.8693471195294,1.3893668400072974,53.897050239039885,False,True,True,True,3
600109,国金证券,9.26,-0.96%,21598206,200517852.0,12.718838153313826,12.398705950493712,0.10942805105016216,68.12373560310554,False,True,False,True,2
600118,中国卫星,48.68,-0.61%,92209530,4481643146.0,68.25381482379203,64.33790304571787,1.060910927799799,85.19466377659919,False,True,False,True,2
600406,国电南瑞,22.48,-1.10%,25340211,572010860.0,31.34702429047376,29.006145500302626,1.8475725150919662,89.8968863419701,True,True,True,True,4
600438,通威股份,22.28,1.78%,102399249,2250630871.0,17.779818281698326,17.64641886798849,1.107564992217592,53.07203628761544,False,True,False,True,2
600933,爱柯迪,19.31,-0.72%,8726681,169701487.0,19.42773082848973,18.754253757169025,0.7058083924135123,72.52023273966998,False,True,False,True,2
600939,重庆建工,3.83,-1.54%,25185700,96398295.0,3.9869970205658753,3.819829488637783,1.4990783471727243,72.06232547764988,True,True,True,True,4
601018,宁波港,3.69,-0.27%,61931600,227802799.0,5.32449398026241,5.062190038394713,0.4022285048326209,75.94346404003251,False,True,False,True,2
601186,中国铁建,7.69,-0.90%,30964894,238320948.0,7.758519968160546,7.451035201302048,1.2633723180988565,80.97316446349242,True,True,True,True,4
601288,农业银行,8.03,2.42%,306533191,2445647865.0,8.790489293061194,8.455451988205246,1.5563013472783327,66.58660975821287,True,True,True,True,4
601916,浙商银行,3.07,-0.32%,130266114,400468516.0,2.455585157379963,2.391909373214447,1.2901640789094422,68.30063743727298,True,True,True,True,4
601933,永辉超市,4.75,9.95%,910236139,4123787786.0,4.778960198618655,4.613293907123401,0.7058083924135123,72.52023273966995,False,True,False,True,2
601939,建设银行,9.32,0.11%,81702485,761027915.0,9.702039747173357,9.295250870523276,1.4990783471727243,72.06232547764989,True,True,True,True,4
603288,海天味业,36.41,-0.27%,6170799,225160156.0,39.85824597264733,38.339104220492274,1.5563013472783327,66.5866097582129,True,True,True,True,4
603986,兆易创新,211.38,-1.17%,20096861,4261442884.0,214.45220118009934,213.44866354066886,0.869884339164005,57.68804155066479,False,True,False,True,2
688200,华峰测控,177.46,-0.85%,1456309,259559798.0,257.0359310363308,245.27567513075218,1.8355841716570864,71.88430096962928,False,True,True,True,3
688298,东方生物,24.52,-1.53%,1680289,41437209.0,24.404883095522365,24.23864538155586,1.646922206599,53.903361980750844,False,True,True,True,3
