symbol,name,current_price,change_percent,volume,amount,ma5,ma20,volume_ratio,rsi,is_starting,is_rising,has_increasing_volume,is_multi_ma,score
000063,中兴通讯,42.39,0.38%,166741492,7149939830.29,46.47295818503052,48.695035830214024,1.5066559249711957,30.680802721857773,False,False,True,False,1
000066,中国长城,14.65,-1.21%,28483649,421117650.44,18.316190713524982,17.53057251227088,1.5519242805810838,68.08576866712176,False,False,True,False,1
000100,TCL科技,4.47,-0.22%,321851970,1438713568.21,2.957374966514204,2.897490485454685,1.3334299892923842,52.575508090368295,False,False,True,False,1
000333,美的集团,80.39,-1.74%,33403462,2692465085.32,77.13960733346963,78.16464287165824,1.7333184583509909,55.685839350619986,False,False,True,False,1
000338,潍柴动力,17.25,-1.09%,49177356,851212228.8,20.183793321455916,20.73433595997152,1.6268600385938448,36.15436713789136,False,False,True,False,1
000425,徐工机械,10.91,-0.73%,42046819,461458816.72,12.320096860603368,11.592749018437877,1.634211613241391,62.26286147775658,False,False,True,False,1
000656,*ST金科,1.48,-1.33%,67888142,100653843.16,1.6027496968773824,1.5163752083273205,1.3533838695538067,64.2532534542559,False,False,True,False,1
000783,长江证券,8.15,-1.57%,66498316,543935176.02,9.50144837702312,9.981403825985453,1.4923663622106849,30.54458663842634,False,False,True,False,1
000858,五 粮 液,110.78,-2.20%,29292699,3264668510.71,181.69152785872308,182.8017616108537,1.555055565635067,37.221338520353314,False,False,True,False,1
000876,新 希 望,9.03,-2.17%,33441900,305700818.0,7.557213673209546,7.636155747676034,1.2013576593289603,53.365797962613364,False,False,True,False,1
000961,ST中南,0.00,-100.00%,0,0.0,0.0,0.0,1.5453063253879906,,False,False,True,False,1
002007,华兰生物,15.24,-1.23%,8872545,135870461.76,16.036488638602666,16.320432659708768,1.266921287780388,51.42966196798291,False,False,True,False,1
002008,大族激光,39.08,-1.06%,24501629,959510379.26,45.04698101796108,43.88676802777274,1.7641635205654431,55.95829479000828,False,False,True,False,1
002024,ST易购,1.72,-0.58%,14765403,25481171.16,2.342529649390246,2.3920426787455034,2.1288238503015227,49.2982339994832,False,False,True,False,1
002027,分众传媒,7.03,-1.40%,119731308,846508203.67,8.667723403164404,8.346506490077815,1.5939099161144783,74.1093282228274,False,True,True,False,2
002032,苏 泊 尔,47.63,-1.73%,2482210,118956468.8,54.19943359534261,49.7673474955537,1.5940391218000274,83.95154005429872,False,True,True,True,3
002044,美年健康,5.07,-1.17%,43056143,219304515.58,4.091103738398674,4.229645794310789,2.170082336803072,41.54432780763059,False,False,True,False,1
002050,三花智控,45.94,-1.84%,157680378,7289308527.64,42.25289214034895,42.874650342124355,1.448296212615448,34.966478791021814,False,False,True,False,1
002120,韵达股份,6.81,-1.30%,18094138,123711811.37,7.902747248587476,7.529333653026666,1.2834027773203278,78.93131294283806,False,True,True,True,3
002146,荣盛发展,1.58,-2.47%,177663700,281954353.0,1.7872441747313448,1.8137621243823923,2.198859943201713,48.840559495006936,False,False,True,False,1
002271,东方雨虹,12.91,-2.12%,24010418,313192718.59,14.836722707253395,15.05530384531732,1.2973765242689377,38.55313842375171,False,False,True,False,1
002415,海康威视,29.98,-1.48%,33453408,1006732460.11,19.22740962628431,18.887403350537646,1.3123722604185017,55.3628436293524,False,False,True,False,1
002456,欧菲光,11.03,-1.25%,46250351,513516762.72,16.06011604608488,15.536885152054097,1.1859275524031383,45.79373229752702,False,False,True,False,1
002475,立讯精密,60.53,0.75%,104918164,6366847271.35,55.14744389350783,57.812723284540084,1.2928396010046674,20.678364512233188,False,False,True,False,1
002601,龙佰集团,17.82,-2.25%,11263983,201775981.24,15.101002953158481,15.09707206393396,1.3005424394789855,50.274445794565594,False,False,True,False,1
002624,完美世界,14.30,0.99%,29893029,429050394.98,18.140745105063733,19.192482083152072,2.7079664236848777,28.175344274287312,False,False,True,False,1
002736,国信证券,12.90,-4.30%,59858895,777089460.04,19.812412720092944,19.883462779086685,1.635748646793876,51.42889978013498,False,False,True,False,1
002916,深南电路,204.39,4.12%,13485544,2744195690.88,163.48438121071356,159.24506735872987,1.2901640789094422,68.30063743727295,True,True,True,True,4
002939,长城证券,10.23,-2.01%,35925421,369579714.55,10.649341911328694,10.2028343782675,1.4990783471727243,72.06232547764986,True,True,True,True,4
