成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:03,18.76,0.0,4664,8749664,卖盘
09:30:00,18.78,0.02,60,112657,买盘
09:30:03,18.76,-0.02,707,1327567,卖盘
09:30:06,18.77,0.01,657,1233449,中性盘
09:30:09,18.8,0.03,2706,5079091,买盘
09:30:12,18.81,0.01,1080,2029955,买盘
09:30:15,18.82,0.01,703,1323089,买盘
09:30:18,18.81,-0.01,1441,2710764,卖盘
09:30:21,18.85,0.04,771,1450247,买盘
09:30:24,18.84,-0.01,632,1189987,中性盘
09:30:27,18.85,0.01,677,1275038,买盘
09:30:30,18.85,0.0,822,1549397,买盘
09:30:33,18.88,0.03,1175,2215116,买盘
09:30:36,18.91,0.03,1063,2008005,买盘
09:30:39,18.91,0.0,706,1335157,买盘
09:30:42,18.92,0.01,1160,2195285,买盘
09:30:45,18.94,0.02,1386,2623901,买盘
09:30:48,18.94,0.0,548,1038032,卖盘
09:30:51,18.94,0.0,1403,2656741,卖盘
09:30:54,18.94,0.0,1329,2516069,买盘
09:30:57,18.95,0.01,2576,4879705,买盘
09:31:00,18.96,0.01,447,847359,买盘
09:31:03,18.96,0.0,1316,2495586,卖盘
09:31:06,18.96,0.0,677,1283757,卖盘
09:31:09,18.96,0.0,1212,2298347,卖盘
09:31:12,18.96,0.0,1659,3145433,买盘
09:31:15,18.94,-0.02,1865,3534766,卖盘
09:31:18,18.96,0.02,1198,2268140,买盘
09:31:21,18.92,-0.04,399,755438,卖盘
09:31:24,18.93,0.01,668,1264526,买盘
09:31:27,18.92,-0.01,877,1660297,卖盘
09:31:30,18.92,0.0,1563,2959398,卖盘
09:31:33,18.93,0.01,941,1781556,买盘
09:31:36,18.95,0.02,783,1483335,买盘
09:31:39,18.96,0.01,2645,5014836,买盘
09:31:42,18.97,0.01,973,1845668,买盘
09:31:45,18.98,0.01,1756,3331718,买盘
09:31:48,18.98,0.0,648,1229814,买盘
09:31:51,18.95,-0.03,988,1874572,卖盘
09:31:54,18.95,0.0,507,961921,卖盘
09:31:57,18.95,0.0,706,1339317,卖盘
09:32:00,18.96,0.01,558,1057661,买盘
09:32:03,18.96,0.0,231,437865,买盘
09:32:06,18.96,0.0,609,1154155,买盘
09:32:09,18.95,-0.01,1332,2524847,卖盘
09:32:12,18.93,-0.02,686,1299777,卖盘
09:32:15,18.94,0.01,933,1766775,买盘
09:32:18,18.93,-0.01,946,1790880,卖盘
09:32:21,18.93,0.0,498,942623,买盘
09:32:24,18.92,-0.01,448,847632,卖盘
09:32:27,18.92,0.0,176,332888,买盘
09:32:30,18.91,-0.01,353,667591,卖盘
09:32:33,18.91,0.0,485,916920,买盘
09:32:36,18.92,0.01,1335,2525295,买盘
09:32:39,18.92,0.0,1112,2104606,卖盘
09:32:42,18.93,0.01,433,819309,中性盘
09:32:45,18.94,0.01,358,677685,买盘
09:32:48,18.93,-0.01,202,382333,中性盘
09:32:51,18.93,0.0,244,461827,买盘
09:32:54,18.92,-0.01,324,613219,卖盘
09:32:57,18.93,0.01,195,369093,中性盘
09:33:00,18.92,-0.01,387,732685,卖盘
09:33:03,18.94,0.02,565,1069674,买盘
09:33:06,18.93,-0.01,1287,2435490,中性盘
09:33:09,18.94,0.01,1756,3324455,买盘
09:33:12,18.94,0.0,474,897675,卖盘
09:33:15,18.94,0.0,361,683711,卖盘
09:33:18,18.94,0.0,114,215929,买盘
09:33:21,18.93,-0.01,293,554658,卖盘
09:33:24,18.93,0.0,474,896883,买盘
09:33:27,18.93,0.0,259,490184,买盘
09:33:30,18.93,0.0,337,637899,卖盘
09:33:33,18.92,-0.01,200,378495,卖盘
09:33:36,18.93,0.01,334,631748,买盘
09:33:39,18.93,0.0,407,770338,买盘
09:33:42,18.93,0.0,312,590351,买盘
09:33:45,18.93,0.0,169,319801,买盘
09:33:48,18.93,0.0,406,768255,买盘
09:33:51,18.92,-0.01,586,1108728,卖盘
09:33:54,18.93,0.01,773,1462726,买盘
09:33:57,18.93,0.0,649,1228294,买盘
09:34:00,18.93,0.0,419,792971,买盘
09:34:03,18.94,0.01,935,1769967,买盘
09:34:06,18.93,-0.01,230,434858,卖盘
09:34:09,18.93,0.0,220,416393,买盘
09:34:12,18.92,-0.01,970,1835687,卖盘
09:34:15,18.93,0.01,154,291455,买盘
09:34:18,18.92,-0.01,130,246020,卖盘
09:34:21,18.92,0.0,533,1008479,卖盘
09:34:24,18.91,-0.01,159,300729,卖盘
09:34:27,18.91,0.0,499,943583,卖盘
09:34:30,18.9,-0.01,524,990523,卖盘
09:34:33,18.9,0.0,539,1018891,卖盘
09:34:36,18.9,0.0,512,968166,卖盘
09:34:39,18.9,0.0,722,1364696,卖盘
09:34:42,18.9,0.0,449,848769,卖盘
09:34:45,18.9,0.0,176,332550,买盘
09:34:48,18.9,0.0,252,476169,买盘
09:34:51,18.9,0.0,434,820025,买盘
09:34:54,18.9,0.0,1133,2141533,买盘
09:34:57,18.9,0.0,398,751866,卖盘
09:35:00,18.9,0.0,186,351577,卖盘
09:35:03,18.92,0.02,671,1268558,买盘
09:35:06,18.9,-0.02,226,427298,卖盘
09:35:09,18.9,0.0,341,644504,卖盘
09:35:12,18.9,0.0,223,421417,买盘
09:35:15,18.9,0.0,397,750069,买盘
09:35:18,18.89,-0.01,136,257006,卖盘
09:35:21,18.89,0.0,233,440203,卖盘
09:35:24,18.88,-0.01,40,75548,卖盘
09:35:27,18.88,0.0,248,468277,卖盘
09:35:30,18.88,0.0,348,657076,卖盘
09:35:33,18.88,0.0,210,396400,买盘
09:35:36,18.87,-0.01,390,736104,卖盘
09:35:39,18.87,0.0,622,1173351,卖盘
09:35:42,18.87,0.0,155,292477,买盘
09:35:45,18.89,0.02,3341,6308800,买盘
09:35:48,18.89,0.0,283,534662,卖盘
09:35:51,18.9,0.01,85,160576,买盘
09:35:54,18.89,-0.01,306,578014,卖盘
09:35:57,18.89,0.0,122,230494,买盘
09:36:00,18.88,-0.01,241,455008,卖盘
09:36:03,18.87,-0.01,202,381466,卖盘
09:36:06,18.87,0.0,172,324662,卖盘
09:36:09,18.87,0.0,355,669966,卖盘
09:36:12,18.88,0.01,136,256663,买盘
09:36:15,18.88,0.0,302,569952,买盘
09:36:18,18.88,0.0,94,177415,买盘
09:36:21,18.88,0.0,513,968395,买盘
09:36:24,18.88,0.0,362,683315,买盘
09:36:27,18.88,0.0,2457,4634683,买盘
09:36:30,18.88,0.0,340,641771,买盘
09:36:33,18.88,0.0,162,305846,买盘
09:36:36,18.88,0.0,371,700328,卖盘
09:36:39,18.87,-0.01,206,388877,卖盘
09:36:42,18.87,0.0,513,968444,买盘
09:36:45,18.87,0.0,131,247227,卖盘
09:36:48,18.86,-0.01,333,628399,卖盘
09:36:51,18.87,0.01,797,1504910,中性盘
09:36:54,18.87,0.0,375,707748,卖盘
09:36:57,18.88,0.01,694,1310040,买盘
09:37:00,18.88,0.0,1618,3051791,卖盘
