时间,价格,涨跌,成交量,成交额,性质
成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:02,54.58,0.01,1274,6953492,买盘
09:30:02,54.59,0.01,97,529484,买盘
09:30:05,54.59,0.0,121,660924,卖盘
09:30:08,54.64,0.05,367,2004304,中性盘
09:30:11,54.68,0.04,176,961487,买盘
09:30:14,54.62,-0.06,99,540766,卖盘
09:30:17,54.73,0.11,221,1208553,买盘
09:30:20,54.7,-0.03,214,1169821,中性盘
09:30:23,54.63,-0.07,98,535942,卖盘
09:30:26,54.6,-0.03,151,825159,卖盘
09:30:29,54.62,0.02,178,973181,中性盘
09:30:32,54.74,0.12,421,2300568,买盘
09:30:35,54.73,-0.01,86,470367,中性盘
09:30:38,54.74,0.01,75,410469,买盘
09:30:41,54.88,0.14,200,1095353,买盘
09:30:44,54.88,0.0,171,936985,买盘
09:30:47,54.9,0.02,146,801124,买盘
09:30:50,54.97,0.07,159,872917,买盘
09:30:53,54.88,-0.09,141,774099,卖盘
09:30:56,54.91,0.03,145,796072,买盘
09:30:59,54.98,0.07,50,274891,中性盘
09:31:02,54.98,0.0,66,362629,买盘
09:31:05,54.98,0.0,48,263903,买盘
09:31:08,54.97,-0.01,62,340781,卖盘
09:31:11,54.9,-0.07,164,900697,卖盘
09:31:14,54.85,-0.05,226,1239732,卖盘
09:31:17,54.74,-0.11,131,717437,卖盘
09:31:20,54.74,0.0,71,388504,买盘
09:31:23,54.74,0.0,95,519931,买盘
09:31:26,54.74,0.0,455,2490836,买盘
09:31:29,54.7,-0.04,216,1182737,卖盘
09:31:32,54.8,0.1,238,1302536,买盘
09:31:35,54.89,0.09,151,829518,买盘
09:31:38,54.92,0.03,99,543115,买盘
09:31:41,54.82,-0.1,49,268618,中性盘
09:31:44,54.96,0.14,59,323892,买盘
09:31:47,54.95,-0.01,79,433733,中性盘
09:31:50,54.94,-0.01,163,895918,卖盘
09:31:53,55.0,0.06,94,516616,买盘
09:31:56,54.96,-0.04,91,500154,卖盘
09:31:59,54.94,-0.02,55,301969,中性盘
09:32:02,54.95,0.01,41,225110,买盘
09:32:05,54.89,-0.06,71,389830,卖盘
09:32:08,54.95,0.06,75,411865,买盘
09:32:11,54.98,0.03,101,555012,买盘
09:32:14,54.91,-0.07,40,219829,卖盘
09:32:17,55.01,0.1,85,467618,买盘
09:32:20,55.01,0.0,18,99025,卖盘
09:32:23,55.12,0.11,54,297385,买盘
09:32:26,55.11,-0.01,89,490166,中性盘
09:32:29,55.18,0.07,62,342056,买盘
09:32:32,55.11,-0.07,80,441078,卖盘
09:32:35,55.2,0.09,216,1191010,买盘
09:32:38,55.2,0.0,96,529813,买盘
09:32:41,55.21,0.01,43,237373,买盘
09:32:44,55.25,0.04,5,27617,买盘
09:32:47,55.27,0.02,15,82892,买盘
09:32:50,55.29,0.02,78,431214,买盘
09:32:53,55.31,0.02,98,542006,买盘
09:32:56,55.31,0.0,51,282177,卖盘
09:32:59,55.48,0.17,211,1167980,买盘
09:33:02,55.38,-0.1,140,775633,中性盘
09:33:05,55.29,-0.09,128,708127,卖盘
09:33:08,55.28,-0.01,172,951478,卖盘
09:33:11,55.28,0.0,204,1128765,卖盘
09:33:14,55.25,-0.03,212,1171827,卖盘
09:33:17,55.27,0.02,90,497297,买盘
09:33:20,55.26,-0.01,57,314949,卖盘
09:33:23,55.27,0.01,91,502847,买盘
09:33:26,55.27,0.0,74,408981,卖盘
09:33:29,55.3,0.03,118,652313,买盘
09:33:32,55.31,0.01,103,569945,中性盘
09:33:35,55.38,0.07,77,425891,买盘
09:33:38,55.38,0.0,54,298920,中性盘
09:33:41,55.37,-0.01,75,415231,卖盘
09:33:44,55.38,0.01,86,476093,买盘
09:33:47,55.3,-0.08,90,498027,卖盘
09:33:50,55.39,0.09,110,608896,买盘
09:33:53,55.29,-0.1,51,282122,卖盘
09:33:56,55.29,0.0,65,359365,买盘
09:33:59,55.3,0.01,42,232202,买盘
09:34:02,55.29,-0.01,66,364857,卖盘
09:34:05,55.29,0.0,39,215612,卖盘
09:34:08,55.26,-0.03,23,127162,卖盘
09:34:11,55.29,0.03,120,663480,买盘
09:34:14,55.29,0.0,49,270929,卖盘
09:34:17,55.29,0.0,36,199007,买盘
09:34:20,55.29,0.0,182,1006215,买盘
09:34:23,55.27,-0.02,85,469842,卖盘
09:34:26,55.28,0.01,167,923243,买盘
09:34:29,55.28,0.0,70,386814,中性盘
09:34:32,55.28,0.0,89,492080,卖盘
09:34:35,55.28,0.0,57,315028,买盘
09:34:38,55.28,0.0,32,176786,买盘
09:34:41,55.26,-0.02,138,761920,中性盘
09:34:44,55.21,-0.05,110,607747,卖盘
09:34:47,55.21,0.0,46,253659,卖盘
09:34:50,55.1,-0.11,10,55166,卖盘
09:34:53,55.1,0.0,9,49594,卖盘
09:34:56,55.23,0.13,198,1093000,买盘
09:34:59,55.18,-0.05,58,320226,卖盘
09:35:02,55.22,0.04,28,154596,中性盘
09:35:05,55.19,-0.03,151,833458,卖盘
09:35:08,55.22,0.03,92,507814,买盘
09:35:11,55.22,0.0,79,436370,买盘
09:35:14,55.22,0.0,38,209851,卖盘
09:35:17,55.26,0.04,158,872487,中性盘
09:35:20,55.22,-0.04,40,220911,卖盘
09:35:23,55.25,0.03,9,49715,中性盘
09:35:26,55.25,0.0,18,99444,买盘
09:35:29,55.23,-0.02,21,116019,卖盘
09:35:32,55.3,0.07,69,381405,买盘
09:35:35,55.26,-0.04,64,353733,卖盘
09:35:38,55.3,0.04,47,259888,买盘
09:35:41,55.3,0.0,26,143770,买盘
09:35:44,55.26,-0.04,108,597045,卖盘
09:35:47,55.26,0.0,48,265229,买盘
09:35:50,55.25,-0.01,62,342580,卖盘
09:35:53,55.26,0.01,45,248661,买盘
09:35:56,55.26,0.0,64,353678,买盘
09:35:59,55.24,-0.02,264,1458557,卖盘
09:36:02,55.2,-0.04,264,1458183,卖盘
09:36:05,55.18,-0.02,93,513060,卖盘
09:36:08,55.19,0.01,36,198596,买盘
09:36:11,55.17,-0.02,185,1019978,中性盘
09:36:14,55.1,-0.07,48,264429,中性盘
09:36:17,54.99,-0.11,195,1072814,卖盘
09:36:20,54.97,-0.02,90,495055,卖盘
09:36:23,54.9,-0.07,15,82363,卖盘
09:36:26,55.0,0.1,54,296766,买盘
09:36:29,55.08,0.08,51,280683,买盘
09:36:32,55.01,-0.07,90,495137,卖盘
09:36:35,55.03,0.02,16,88062,卖盘
09:36:38,55.04,0.01,20,110067,买盘
09:36:41,55.0,-0.04,25,137530,卖盘
09:36:44,55.01,0.01,35,192538,卖盘
09:36:47,55.03,0.02,94,517137,买盘
09:36:50,55.01,-0.02,65,357685,卖盘
09:36:53,55.02,0.01,25,137541,买盘
09:36:56,55.01,-0.01,85,467644,卖盘
09:36:59,55.0,-0.01,102,561018,卖盘
09:37:02,55.02,0.02,427,2348678,买盘
09:37:05,55.0,-0.02,106,583157,卖盘
09:37:08,55.02,0.02,104,572077,买盘
09:37:11,55.01,-0.01,23,126558,卖盘
09:37:14,55.0,-0.01,28,154017,卖盘
09:37:17,55.01,0.01,23,126541,中性盘
09:37:20,55.05,0.04,40,220114,买盘
09:37:23,55.06,0.01,33,181588,买盘
09:37:26,55.06,0.0,81,445717,买盘
09:37:29,55.1,0.04,22,121140,买盘
09:37:32,55.1,0.0,7,38556,买盘
09:37:35,55.1,0.0,27,148770,买盘
09:37:38,55.06,-0.04,38,209338,卖盘
09:37:41,55.06,0.0,18,99148,卖盘
09:37:44,55.11,0.05,31,170764,中性盘
09:37:47,55.1,-0.01,52,286521,卖盘
09:37:50,55.1,0.0,62,341677,买盘
09:37:53,55.11,0.01,24,132227,中性盘
09:37:56,55.15,0.04,54,297586,买盘
09:37:59,55.1,-0.05,19,104711,卖盘
09:38:02,55.1,0.0,44,242584,卖盘
09:38:05,55.11,0.01,11,60615,买盘
09:38:08,55.11,0.0,9,49598,买盘
09:38:11,55.1,-0.01,67,369180,卖盘
09:38:14,55.1,0.0,34,187355,卖盘
09:38:17,55.09,-0.01,65,357965,卖盘
09:38:20,55.03,-0.06,38,209215,卖盘
09:38:23,55.02,-0.01,81,445711,卖盘
09:38:26,55.02,0.0,20,110023,中性盘
09:38:29,55.01,-0.01,49,269566,卖盘
09:38:32,54.98,-0.03,175,962507,卖盘
09:38:35,54.99,0.01,30,164919,买盘
09:38:38,54.93,-0.06,30,164852,卖盘
09:38:41,54.93,0.0,94,516548,卖盘
09:38:44,54.96,0.03,135,742015,买盘
09:38:47,54.96,0.0,97,532760,买盘
09:38:50,54.94,-0.02,95,521891,卖盘
09:38:53,54.95,0.01,36,197806,中性盘
09:38:56,54.94,-0.01,63,346125,卖盘
09:38:59,54.94,0.0,18,98869,买盘
09:39:02,54.95,0.01,109,598836,买盘
09:39:05,54.89,-0.06,105,576357,卖盘
